entity,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019
Pensions,0.0229,0.0250,0.0220,0.0226,0.0193,0.0203,0.0197,0.0205,0.0185,0.0159,0.0204,0.0185,0.0169,0.0184,0.0195,0.0137
Iraq War,0.0229,0.0241,0.0252,0.0262,0.0176,0.0099,0.0071,0.0046,0.0056,0.0036,0.0026,0.0032,0.0022,0.0019,0.0025,0.0024
Norway,0.0229,0.0179,0.0211,0.0135,0.0133,0.0116,0.0150,0.0173,0.0188,0.0117,0.0175,0.0136,0.0151,0.0131,0.0192,0.0146
Planned Parenthood,0.0229,0.0165,0.0243,0.0175,0.0190,0.0178,0.0139,0.0208,0.0197,0.0162,0.0152,0.0146,0.0186,0.0199,0.0153,0.0161
Venezuela,0.0223,0.0219,0.0272,0.0219,0.0415,0.0460,0.0793,0.0153,0.0200,0.0234,0.0279,0.0206,0.0176,0.0169,0.0192,0.1039
Electoral college,0.0223,0.0040,0.0023,0.0036,0.0091,0.0027,0.0020,0.0027,0.0045,0.0038,0.0032,0.0031,0.0051,0.0060,0.0037,0.0053
Supreme Court,0.0210,0.0245,0.0548,0.0194,0.0161,0.0208,0.0674,0.0242,0.0228,0.0209,0.0184,0.0231,0.0200,0.0235,0.0242,0.0618
Afghanistan,0.0210,0.0210,0.0158,0.0150,0.0173,0.0187,0.0297,0.0257,0.0206,0.0199,0.0166,0.0142,0.0121,0.0112,0.0141,0.0195
Federal reserve system,0.0210,0.0272,0.0243,0.0143,0.0464,0.0170,0.0187,0.0138,0.0172,0.0103,0.0180,0.0108,0.0150,0.0120,0.0152,0.0078
European Union,0.0210,0.0152,0.0132,0.0120,0.0112,0.0108,0.0108,0.0080,0.0099,0.0073,0.0070,0.0097,0.0064,0.0074,0.0076,0.0067
Muslims,0.0203,0.0201,0.0381,0.0253,0.0285,0.0204,0.0207,0.0219,0.0206,0.0221,0.0193,0.0371,0.0352,0.0348,0.0190,0.0300
Teddy Roosevelt,0.0203,0.0116,0.0114,0.0103,0.0101,0.0137,0.0083,0.0091,0.0094,0.0109,0.0079,0.0093,0.0104,0.0111,0.0116,0.0104
FCC,0.0203,0.0170,0.0129,0.0089,0.0095,0.0093,0.0084,0.0080,0.0072,0.0069,0.0065,0.0063,0.0065,0.0051,0.0056,0.0032
Arabic,0.0203,0.0161,0.0267,0.0219,0.0288,0.0296,0.0488,0.0313,0.0268,0.0227,0.0227,0.0258,0.0231,0.0246,0.0227,0.0223
Same-sex marriage,0.0203,0.0161,0.0108,0.0086,0.0073,0.0093,0.0108,0.0082,0.0156,0.0138,0.0176,0.0143,0.0079,0.0063,0.0037,0.0041
Edward Kennedy,0.0197,0.0062,0.0067,0.0036,0.0297,0.0037,0.0025,0.0014,0.0009,0.0006,0.0005,0.0005,0.0006,0.0007,0.0079,0.0014
Saddam Hussein,0.0190,0.0112,0.0100,0.0198,0.0075,0.0038,0.0040,0.0036,0.0032,0.0022,0.0024,0.0026,0.0025,0.0018,0.0017,0.0018
Ukraine,0.0190,0.0152,0.0114,0.0108,0.0130,0.0094,0.0123,0.0091,0.0093,0.0096,0.0337,0.0247,0.0137,0.0133,0.0117,0.0112
hurricane,0.0190,0.0277,0.0566,0.0356,0.0256,0.0299,0.0237,0.0227,0.0189,0.0275,0.0197,0.0168,0.0197,0.0216,0.0309,0.0212
Medicaid,0.0184,0.0290,0.0343,0.0289,0.0290,0.0333,0.0336,0.0359,0.0359,0.0348,0.0424,0.0495,0.0462,0.0438,0.0493,0.0255
Confederate states,0.0184,0.0098,0.0076,0.0101,0.0062,0.0092,0.0065,0.0059,0.0060,0.0064,0.0066,0.0071,0.0105,0.0138,0.0078,0.0083
Lockheed,0.0184,0.0156,0.0147,0.0131,0.0131,0.0118,0.0110,0.0089,0.0083,0.0056,0.0063,0.0066,0.0048,0.0066,0.0056,0.0046
Coast Guard,0.0170,0.0161,0.0144,0.0211,0.0180,0.0155,0.0123,0.0114,0.0100,0.0093,0.0092,0.0102,0.0093,0.0084,0.0111,0.0074
San Bernardino,0.0164,0.0138,0.0167,0.0097,0.0137,0.0136,0.0109,0.0156,0.0180,0.0276,0.0151,0.0157,0.0188,0.0192,0.0169,0.0133
Global warming,0.0158,0.0170,0.0202,0.0500,0.0409,0.0258,0.0223,0.0139,0.0093,0.0107,0.0148,0.0108,0.0094,0.0135,0.0086,0.0099
Torture,0.0157,0.0156,0.0132,0.0084,0.0088,0.0108,0.0119,0.0096,0.0098,0.0093,0.0101,0.0115,0.0083,0.0100,0.0081,0.0078
Public transportation,0.0151,0.0170,0.0161,0.0124,0.0138,0.0116,0.0126,0.0099,0.0098,0.0093,0.0100,0.0085,0.0077,0.0085,0.0061,0.0048
Romania,0.0151,0.0161,0.0146,0.0133,0.0134,0.0081,0.0194,0.0080,0.0070,0.0082,0.0080,0.0076,0.0061,0.0068,0.0064,0.0049
North Korea,0.0151,0.0076,0.0108,0.0070,0.0040,0.0066,0.0083,0.0080,0.0061,0.0465,0.0128,0.0127,0.0184,0.0156,0.0621,0.0181
Denmark,0.0151,0.0170,0.0246,0.0076,0.0124,0.0097,0.0116,0.0105,0.0128,0.0074,0.0096,0.0099,0.0105,0.0096,0.0102,0.0084
El Salvador,0.0151,0.0187,0.0164,0.0105,0.0151,0.0249,0.0267,0.0153,0.0201,0.0161,0.0195,0.0175,0.0178,0.0201,0.0185,0.0244
Jerusalem,0.0151,0.0116,0.0094,0.0076,0.0086,0.0102,0.0067,0.0080,0.0077,0.0075,0.0080,0.0086,0.0074,0.0067,0.0113,0.0129
Thrift Savings Plan,0.0151,0.0223,0.0149,0.0141,0.0131,0.0077,0.0082,0.0109,0.0086,0.0099,0.0093,0.0098,0.0069,0.0086,0.0092,0.0069
World Trade Center,0.0151,0.0116,0.0161,0.0099,0.0091,0.0077,0.0076,0.0068,0.0065,0.0064,0.0063,0.0061,0.0065,0.0044,0.0045,0.0046
Youngstown,0.0144,0.0080,0.0073,0.0114,0.0076,0.0073,0.0068,0.0087,0.0095,0.0111,0.0102,0.0100,0.0099,0.0092,0.0091,0.0051
Georgetown University,0.0144,0.0170,0.0088,0.0137,0.0098,0.0099,0.0096,0.0100,0.0087,0.0065,0.0076,0.0079,0.0080,0.0074,0.0062,0.0079
National Institutes of Health,0.0144,0.0201,0.0149,0.0118,0.0124,0.0170,0.0122,0.0100,0.0091,0.0077,0.0077,0.0075,0.0063,0.0075,0.0062,0.0035
Department of Justice,0.0138,0.0170,0.0129,0.0129,0.0094,0.0105,0.0086,0.0073,0.0070,0.0078,0.0060,0.0052,0.0051,0.0068,0.0066,0.0031
Morocco,0.0138,0.0120,0.0129,0.0112,0.0135,0.0139,0.0196,0.0103,0.0111,0.0073,0.0102,0.0103,0.0097,0.0113,0.0148,0.0099
Joe Lieberman,0.0138,0.0036,0.0023,0.0015,0.0020,0.0026,0.0023,0.0009,0.0017,0.0006,0.0003,0.0000,0.0000,0.0003,0.0000,0.0003
Arab,0.0138,0.0152,0.0185,0.0137,0.0163,0.0164,0.0315,0.0154,0.0139,0.0138,0.0170,0.0232,0.0156,0.0128,0.0099,0.0092
Beijing,0.0138,0.0161,0.0117,0.0112,0.0207,0.0151,0.0123,0.0091,0.0097,0.0079,0.0084,0.0085,0.0077,0.0085,0.0080,0.0073
